player_id,player_name,team_name,year,p_base_runs_prevented,sb_opp,sb_att_rate,stolen_bases,caught_stealing,pickoffs,balks,forced_balks,base_advance_allowed,outs_created_on_bases,lead_dist_gain_all,prim_lead_dist_all,second_lead_dist_all,prim_lead_dist__sb_att,second_lead_dist_sb_att,lead_dist_gain_sb_att
489119,"Miley, Wade",BAL,2016,0.21656721844303115,587,0.003407155,1,1,1,1,0,2,2,0.995558282,8.768083845,9.763642127,10.174,19.453,9.279
489119,"Miley, Wade",BAL,2017,0.8405440085810539,733,0.002728513,1,1,1,0,0,1,2,0.758873651,9.083921418,9.842795069,11.93,18.5285,6.5985
489119,"Miley, Wade",CHC,2022,0.14459110904132108,104,0.019230769230769232,1,1,0,0,0,1,1,0.711931034,9.005862069,9.717793103,9.213,17.9475,8.7345
489119,"Miley, Wade",MIL,2024,-0.178095855,14,0,0,0,0,1,0,1,0,0.609153846,7.096692308,7.705846154,,,
489119,"Miley, Wade",CIN,2021,1.1559936633700305,573,0.003490401,2,0,2,0,0,2,2,0.87431712,8.873731518,9.748048638,11.0125,19.976,8.9635
489119,"Miley, Wade",CIN,2020,-0.363892143,62,0.016129032258064516,1,0,0,1,0,2,0,1.215762712,9.383559322,10.59932203,10.204,21.556,11.352
489119,"Miley, Wade",HOU,2019,1.2179541721976785,641,0.003120125,1,1,3,1,0,2,4,0.669708719,9.243461967,9.913170686,10.526,19.1325,8.6065
489119,"Miley, Wade",MIL,2023,1.3336812485701053,343,0.005830904,1,1,2,0,0,1,3,0.808403786,9.224545741,10.03294953,9.7505,19.7365,9.986
489119,"Miley, Wade",MIL,2018,-0.216792269,279,0.007168459,1,1,0,0,0,1,1,0.918262008,9.469868996,10.388131,11.6125,23.506,11.8935
453192,"Miller, Andrew",STL,2020,-0.00856319,37,0,0,0,0,0,0,0,0,2.000638889,9.547777778,11.54841667,,,
453192,"Miller, Andrew",CLE,2016,0.024610311433173826,222,0.004504505,1,0,0,0,0,1,0,1.630028985,9.730492754,11.36052174,12.329,17.758,5.429
453192,"Miller, Andrew",CLE,2017,0.011701629717610133,181,0.005524862,1,0,0,0,0,1,0,1.685,10.28808333,11.97308333,9.155,21.201,12.046
453192,"Miller, Andrew",STL,2019,0.051108679,229,0,0,0,0,0,0,0,0,1.675220589,10.22558333,11.90080392,,,
453192,"Miller, Andrew",CLE,2018,-0.034179907,163,0,0,0,0,0,0,0,0,1.459635803,10.03595062,11.49558642,,,
453192,"Miller, Andrew",STL,2021,-0.091910412,117,0.034188034,3,1,0,0,0,3,1,2.293242425,10.35931313,12.65255556,10.581,21.97375,11.39275
