player_id,name,team_name,year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
542908,"Bandy, Jett",LAA,2016,35,2.910797400193181,4.478149846451047,14,0.4000000000000001,0.2720528615299701,0.12794713847002998,27.58571429,55.787696971474865,2.01348,0.774291667,80.65608,0.8775524796466867,-0.235426281,1.4348433223302017,-0.043247663,2.672556406326045,-0.228128418
608360,"Okey, Chris",LAA,2023,3,0.11873246081185956,0.1826653243259378,1,0.33333333333333337,0.27244489189135407,0.060888441441979274,29.03333333,60.22431501,2.017333333,0.677333333,76.88156667,-0.158653575,0.085295584,0.000542268,0.056515021,0.19896602591277973,0
545358,"Stassi, Max",LAA,2022,39,-1.941248422,-2.986536034,7,0.1794871794871795,0.2560650265168115,-0.076577847,27.96666667,56.11895675367106,2.026064516,0.71583871,75.84950839,-1.961311797,-0.189158818,-1.505725277,1.929829028910477,-1.260169171,0
545358,"Stassi, Max",LAA,2021,23,-1.524816959,-2.345872245,4,0.17391304347826086,0.27590748890464767,-0.101994445,28.30434783,57.295254914403074,2.01752381,0.740285714,76.05886905,-1.285951948,0.6648600400139097,-1.563787721,1.3827456090114982,-1.543738225,0
545358,"Stassi, Max",LAA,2020,24,-0.253037308,-0.389288166,4,0.16666666666666666,0.18288700691972384,-0.01622034,27.93333333,54.35715769749048,1.968380952,0.684714286,77.243302,-0.070280106,1.6996025787191869,0.18870548414862048,0.6624305232938014,-2.869746646,0
545358,"Stassi, Max",LAA,2019,18,-0.19181624,-0.295101908,3,0.16666666666666666,0.18306121710699721,-0.01639455,27.97777778,53.95745834312468,2.030444444,0.739666667,78.50755556,-0.095597836,-0.027574184,0.057693077,0.4599139663334274,-0.237312911,-0.45222402
460077,"Butera, Drew",LAA,2021,2,0.1695904348722587,0.26090836134193646,1,0.5,0.36954581932903174,0.1304541806709682,26.85,56.90422502390449,1.915,0.76,83.147755,0.27345314632246986,-0.030839575,0.068162708,0,-0.049867917,0
607345,"Smith, Kevan",LAA,2019,23,-2.948028641,-4.535428678,1,0.043478261,0.24067081210065228,-0.197192551,28.5,56.950360351482956,2.109583333,0.8505,78.89963636,0.1350859849020485,-2.728122859,-0.823245629,0.1320916222242786,-0.294959173,-0.956278624
435559,"Suzuki, Kurt",LAA,2021,32,-0.740761558,-1.139633166,8,0.25000000000000006,0.28561353644134096,-0.035613536,28.184375,57.756370653790036,1.989461538,0.772076923,78.37192115,0.21612591180853855,-1.798155084,-1.344074517,1.378501370157304,0.4079691524959024,0
435559,"Suzuki, Kurt",LAA,2022,24,-2.205843415,-3.393605254,3,0.125,0.2664002189021503,-0.141400219,27.95,56.55005592876739,2.074533333,0.800466667,76.75683333,-0.811528509,-2.814038488,-0.751039208,1.220365471435911,-0.237364519,0
642136,"Thaiss, Matt",LAA,2022,6,-0.06446693,-0.099179892,1,0.16666666666666666,0.1831966486463121,-0.016529982,27.91666667,55.28940758485857,1.9898,0.7922,81.687274,0.40691222634932867,-0.339543222,-0.160771818,0,-0.005777078,0
642136,"Thaiss, Matt",LAA,2024,20,-1.58566231,-2.439480477,3,0.15000000000000002,0.2719740238483249,-0.121974024,28.705,57.78019981072762,2.0572,0.768733333,81.72036133,0.9468723301648004,-2.580043992,-0.828931317,-0.022878487,0.045500989,0
642136,"Thaiss, Matt",LAA,2023,26,0.3087117572020234,0.47494116492618976,4,0.15384615384615385,0.1355791859643773,0.018266968,28.35769231,54.58365678149922,1.982857143,0.709214286,80.63095857,0.4043720508138761,-1.137786735,0.3011935967738125,-0.011604473,0.9187667250282127,0
621493,"Ward, Taylor",LAA,2021,1,-0.083814507,-0.128945395,0,0,0.12894539474517142,-0.128945395,28.5,57.24921908217552,1.987,0.824,81.65332,0.050053435,-0.072632112,-0.106366718,2.7755575615628914e-17,0,0
434567,"Soto, Geovany",LAA,2016,17,-0.999775969,-1.538116876,3,0.1764705882352941,0.26694805150805667,-0.090477463,28.12941177,56.90292978,2.0784375,0.699,73.25957143,-1.931045461,1.7080980011475861,1.3762814287941372,0.000705182,-1.59461018,-1.097545847
595453,"Wallach, Chad",LAA,2023,20,-0.262544257,-0.403914241,4,0.2,0.22019571204105803,-0.020195712,28.32,57.35094153364815,1.9811875,0.668125,78.66087688,-0.394244286,0.094022584,-0.088989584,0,-0.014702955,0
595453,"Wallach, Chad",LAA,2022,4,-0.671053724,-1.032390344,1,0.25,0.5080975860022401,-0.258097586,28.3,61.952764183499916,2.25375,0.941,77.185465,-0.24364168,-1.125674755,-0.894740491,-0.182868534,1.414535115409888,0
492802,"Graterol, Juan",LAA,2016,4,-0.013034665,-0.020053331,1,0.25,0.2550133328623404,-0.005013333,28.25,52.65185578070282,1.917,0.789,83.428,0.11509335325832937,-0.188881723,-0.135199669,0.18893470658753697,0,0
492802,"Graterol, Juan",LAA,2017,21,0.7793760398518559,1.1990400613105474,8,0.380952381,0.32385523517568826,0.057097146,27.67142857,56.24402696549851,2.053470588,0.804666667,79.66182353,0.46095421596212915,-1.066160257,1.2285306233805966,0.6236010733912747,-0.202493042,0.15460744791083425
